,Unnamed: 0,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,clusters
0,0,Hozier,Take Me To Church,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,7dS5EaCoMnN7DzlpT6aRn2,241688,4
1,1,Mike Posner,Cooler Than Me - Single Mix,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,2V4bv1fNWfTcyRJKmej6Sj,213293,2
2,2,"Tyler, The Creator",See You Again (feat. Kali Uchis),0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,7KA4W4McWYRpgf0fWsJZWB,180387,4
3,3,Bastille,Pompeii,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,3gbBpTdY8lnQwqxNCcf795,214148,0
4,4,Shakira,Hips Don't Lie (feat. Wyclef Jean),0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093,7
5,5,The Script,Hall of Fame (feat. will.i.am),0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,7wMq5n8mYSKlQIGECKUgTX,202533,0
6,6,Otto Knows,Back Where I Belong (feat. Avicii),0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,78W8wiUIlQ2SnWY9TVowKZ,174203,2
7,7,Selena Gomez,The Heart Wants What It Wants,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,2jcPoPin36hyNRSi4ZsqeB,227373,7
8,8,Taio Cruz,Dynamite,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,2CEgGE6aESpnmtfiZwYlbV,202613,0
9,9,Mohombi,Bumpy Ride,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,0tBRo4P60DgKmg4jt48upm,224402,7
10,10,Lucenzo,Danza Kuduro (feat. Don Omar),0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051,1kAZhbcsXqfUjnVeqPywn2,202347,0
